month,date,product_id,product_name,cloud_cover,mgrs_tile,Online,download_status,S3Path
1,2025-01-31,a940528c-91d5-485c-a17c-465935284530,S2B_MSIL2A_20250131T044939_N0511_R076_T45RVM_20250131T082914.SAFE,0.002054,45RVM,True,not_downloaded,/eodata/Sentinel-2/MSI/L2A/2025/01/31/S2B_MSIL2A_20250131T044939_N0511_R076_T45RVM_20250131T082914.SAFE
2,2025-02-10,0b8d069a-6bc9-4998-ab00-d94de4d69700,S2B_MSIL2A_20250210T044839_N0511_R076_T45RVM_20250210T065139.SAFE,2.521034,45RVM,True,not_downloaded,/eodata/Sentinel-2/MSI/L2A/2025/02/10/S2B_MSIL2A_20250210T044839_N0511_R076_T45RVM_20250210T065139.SAFE
3,2025-03-27,8b97a93f-be3a-4c89-bb7a-2d3530ccd3bd,S2C_MSIL2A_20250327T044721_N0511_R076_T45RVM_20250327T094313.SAFE,0.0101,45RVM,True,not_downloaded,/eodata/Sentinel-2/MSI/L2A/2025/03/27/S2C_MSIL2A_20250327T044721_N0511_R076_T45RVM_20250327T094313.SAFE
4,2025-04-21,9c63c11b-8120-4e2e-82d1-be8f01d1cd43,S2B_MSIL2A_20250421T044659_N0511_R076_T45RVM_20250421T065233.SAFE,0.050823,45RVM,True,not_downloaded,/eodata/Sentinel-2/MSI/L2A/2025/04/21/S2B_MSIL2A_20250421T044659_N0511_R076_T45RVM_20250421T065233.SAFE
5,2025-05-08,374dc337-8882-41e5-91a4-e0ca96d79418,S2A_MSIL2A_20250508T045231_N0511_R076_T45RVM_20250508T072516.SAFE,19.816066,45RVM,True,not_downloaded,/eodata/Sentinel-2/MSI/L2A/2025/05/08/S2A_MSIL2A_20250508T045231_N0511_R076_T45RVM_20250508T072516.SAFE
6,2025-06-10,5935ac4b-7fe6-40b8-8d50-7509baa71d77,S2B_MSIL2A_20250610T044659_N0511_R076_T45RVM_20250610T070750.SAFE,1.850641,45RVM,True,not_downloaded,/eodata/Sentinel-2/MSI/L2A/2025/06/10/S2B_MSIL2A_20250610T044659_N0511_R076_T45RVM_20250610T070750.SAFE
7,2025-07-07,5424cd5d-7568-4fd6-a277-fa46ed7a2556,S2A_MSIL2A_20250707T045241_N0511_R076_T45RVM_20250707T074417.SAFE,12.159456,45RVM,True,not_downloaded,/eodata/Sentinel-2/MSI/L2A/2025/07/07/S2A_MSIL2A_20250707T045241_N0511_R076_T45RVM_20250707T074417.SAFE
8,2025-08-19,fb972a2b-f5e5-4c72-b17f-7ddf3a0ded86,S2B_MSIL2A_20250819T044659_N0511_R076_T45RVM_20250819T070626.SAFE,42.063248,45RVM,True,not_downloaded,/eodata/Sentinel-2/MSI/L2A/2025/08/19/S2B_MSIL2A_20250819T044659_N0511_R076_T45RVM_20250819T070626.SAFE
9,2025-09-05,fe760223-6cf8-43a6-bd98-0094ff33b589,S2A_MSIL2A_20250905T045231_N0511_R076_T45RVM_20250905T074230.SAFE,23.067698,45RVM,True,not_downloaded,/eodata/Sentinel-2/MSI/L2A/2025/09/05/S2A_MSIL2A_20250905T045231_N0511_R076_T45RVM_20250905T074230.SAFE
10,2025-10-25,1e3da49c-5323-4210-b31d-e28ac001b454,S2A_MSIL2A_20251025T045241_N0511_R076_T45RVM_20251025T075715.SAFE,0.058397,45RVM,True,not_downloaded,/eodata/Sentinel-2/MSI/L2A/2025/10/25/S2A_MSIL2A_20251025T045241_N0511_R076_T45RVM_20251025T075715.SAFE
11,2025-11-17,aa7c6530-e615-491c-84fd-90f3082f3c59,S2B_MSIL2A_20251117T044959_N0511_R076_T45RVM_20251117T065411.SAFE,0.001257,45RVM,True,not_downloaded,/eodata/Sentinel-2/MSI/L2A/2025/11/17/S2B_MSIL2A_20251117T044959_N0511_R076_T45RVM_20251117T065411.SAFE
12,2025-12-17,8c931d0d-fb54-4710-b1d2-2b8651224741,S2B_MSIL2A_20251217T045119_N0511_R076_T45RVM_20251217T063558.SAFE,0.001374,45RVM,True,not_downloaded,/eodata/Sentinel-2/MSI/L2A/2025/12/17/S2B_MSIL2A_20251217T045119_N0511_R076_T45RVM_20251217T063558.SAFE
