month,month_name,date,cloud_cover,valid_pixel_fraction,ndsi_threshold_snow_fraction,kmeans_snow_fraction
1,January,2025-01-31,0.002054,0.9962754632805394,0.3306319171724384,0.31569337481511706
2,February,2025-02-10,2.521034,0.9374577623308588,0.3421646715755754,0.33432161934366605
3,March,2025-03-27,0.0101,0.9962525977754404,0.37715457334411207,0.37407907051470046
4,April,2025-04-21,0.050823,0.9962754632805394,0.49639414494823275,0.4830494211251084
5,May,2025-05-08,19.816066,0.9652241073560871,0.6672755699914192,0.6468264204380946
6,June,2025-06-10,1.850641,0.9823706955686651,0.3747126080063724,0.36566606408097924
7,July,2025-07-07,12.159456,0.9566673272257029,0.35542424644801485,0.3395538441110078
8,August,2025-08-19,42.063248,0.4759251637424226,0.26581325703182135,0.23957571519321827
9,September,2025-09-05,23.067698,0.7278598395349665,0.4479213934168732,0.41495689203811653
10,October,2025-10-25,0.058397,0.9962754632805394,0.7365864232161983,0.6209721018003774
11,November,2025-11-17,0.001257,0.9962754632805394,0.7014255112969857,0.5554036823583414
12,December,2025-12-17,0.001374,0.9962754632805394,0.5270082113530882,0.39900290712500636
